f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,class
0,0.098896483880346,0.103077037858422,0,0,0,0,0.679044070867365,0,0,0,0,0.123412681361417,0,0.129033603617894,0,0,0,0,0.137869054606793,0,0.140044996503233,0,0,0,0,0,0,0.15528904026327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179512888363019,0,0,0,0,0.183089067384113,0.183089067384113,0,0,0,0,0.185559378350722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194817128326081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202105307513443,0.202105307513443,0,0,0.203640840247383,0,0,0,0,0.205204549460694,0,0,0,0,0,0.205204549460694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211763150998711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
0,0,0.200117171691234,0,0,0,0,0,0.222871265585021,0,0,0,0.23959746281029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30319778783421,0,0,0.30319778783421,0,0,0,0,0,0,0,0,0.31948454665047,0,0,0,0.32333235876669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383739878144812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39237393083539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401483486383547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338917810982087,0,0,0,0,0,0.373694095388766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45522230686475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516646863367864,0,0,0,0,0,0,0.520899328446069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
0,0.0411220650851865,0,0,0,0,0,0,0.0477337679577802,0,0,0,0,0.0515683334597433,0,0.109487508977077,0,0,0,0,0,0,0.0607641537524421,0,0,0.126982560856104,0.064207166559942,0.064207166559942,0,0,0,0,0.064937814266009,0,0,0,0.136042152367117,0.0680210761835585,0,0,0,0,0,0.138500328843183,0,0,0,0,0.0705234208565629,0,0,0,0.0713984074925492,0,0,0,0,0,0,0,0,0.0727527822192602,0,0,0,0,0,0,0.149286210980468,0,0,0.225395622130438,0,0,0,0.0761301135282509,0,0,0,0,0.154314582972177,0.154314582972177,0,0,0,0,0,0.0782151359610289,0,0.630049130022623,0,0,0,0,0,0,0,0,0,0,0.244777401810059,0.0815924672700196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840372405927479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853259338209496,0.255977801462849,0,0.343953170052818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880530604965597,0,0,0,0,0,0,0,0,0,0,0,0.178999188669033,0,0,0.0894995943345166,0,0,0.180491250444403,0,0,0,0,0,0,0,0,0.0910077010086438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917865270474899,0,0,legit
0.0412514368641248,0.133123904488909,0.185001760823859,0.0479987638902906,0.0479987638902906,0.0484486269541971,0,0,0.154527880672909,0.0515092935576362,0,0,0,0.111294311767108,0,0,0,0.0593736451709978,0.0612242281990231,0,0,0,0,0.0673828870457723,0,0.205539462429073,0.0692856636368058,0,0,0.0700741022786559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747275398678211,0.0747275398678211,0,0,0,0,0.0765706879513575,0,0,0,0.155053371459255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241641114702117,0.0805470382340389,0,0.081609270966937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849853965613325,0,0,0,0,0,0.0861804288004426,0.0867922485629925,0.0867922485629925,0.262242051147775,0.0874140170492582,0,0,0,0,0,0,0,0,0,0,0.0886887324000604,0.0886887324000604,0,0,0,0,0.0900074120205931,0,0,0,0,0.272052621068646,0,0,0,0,0,0,0,0.182746394367491,0,0,0,0,0,0,0,0,0,0.18557915668841,0.0927895783442049,0,0,0.278368735032615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191580339299055,0,0,0,0.0965786082913777,0,0,0,0.482893041456889,0,0.09738364685508,0,0,0,0,0,0,0,0,0,0,0.0982059993966129,0,0.0982059993966129,0,0,0,0.196411998793226,0,0,0,0,0.0990464270599127,0,0,0,0.0990464270599127,0,0,legit
0.102342730083019,0,0,0,0,0.120198594962844,0,0,0,0,0,0,0,0.138057781435272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206564063049266,0,0,0,0,0,0.209396104566136,0,0,0,0,0,0.213809288442822,0,0,0,0,0.216869758544699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221653949329596,0,0,0,0,0,0,0,0,0.224982934599467,0,0,0,0.226692284368188,0,0,0,0,0,0,0,0.228433000097028,0,0.228433000097028,0,0.228433000097028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23765056982958,0,0,0,0,0,0,0,0,0.239606646253673,0,0,0,0.24160390624495,0,0,0,0,0,0,0,0,0,0,0.487288242680412,0,0,0,0.243644121340206,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
0,0,0,0,0,0,0,0,0,0,0.13371145309201,0,0,0,0,0.146159609370067,0,0,0,0.306114324365492,0,0,0,0,0.169514510513019,0,0,0,0,0.1733765916339,0,0,0,0,0,0,0.181608550907884,0,0,0,0,0,0,0,0,0.36978015392758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208825533171717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216278822620668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224369891548924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462762174875873,0,0,0,0,0,0,0.235091674771969,0,0,0,0,0,0,0,0,0,0.477907511785701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
0,0,0,0,0,0,0,0.198364278947411,0,0,0,0.0703683311262576,0,0,0,0,0,0,0,0,0,0,0,0,0.089210407415716,0,0.0902162855939253,0,0,0.091242904983173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097302107313085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103533889629921,0,0,0,0,0,0,0,0,0,0,0.106968994776474,0,0,0,0,0.108412263261365,0,0,0,0,0,0,0,0,0,0,0.110658777083825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814323855129491,0,0,0,0,0,0,0,0,0.118079150724754,0,0,0.118976279075139,0,0,0,0,0,0.119889869411582,0,0,0.239779738823165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12575420152648,0,0,0,0,0,0,0,0,0,0.253604871071446,0.126802435535723,0,0,0,0,0,0,0,0,0,0,0.127873213931305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365392947577335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408853761770164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43909008407754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497102884664092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509328200152465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legit
